Date,City,Venue,season,MatchNumber,Team1,Team2,TossWon,TossDecision,team,over,batter,bowler,runs_batter,runs_total,extras,player_out,kind,wicket
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,1,SC Ganguly,P Kumar,0,1,1,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,1,BB McCullum,P Kumar,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,1,BB McCullum,P Kumar,0,1,1,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,1,BB McCullum,P Kumar,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,1,BB McCullum,P Kumar,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,1,BB McCullum,P Kumar,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,1,BB McCullum,P Kumar,0,1,1,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,2,BB McCullum,Z Khan,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,2,BB McCullum,Z Khan,4,4,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,2,BB McCullum,Z Khan,4,4,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,2,BB McCullum,Z Khan,6,6,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,2,BB McCullum,Z Khan,4,4,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,2,BB McCullum,Z Khan,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,3,SC Ganguly,P Kumar,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,3,SC Ganguly,P Kumar,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,3,SC Ganguly,P Kumar,0,1,1,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,3,BB McCullum,P Kumar,4,4,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,3,BB McCullum,P Kumar,1,1,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,3,SC Ganguly,P Kumar,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,4,BB McCullum,AA Noffke,0,5,5,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,4,BB McCullum,AA Noffke,6,6,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,4,BB McCullum,AA Noffke,0,1,1,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,4,SC Ganguly,AA Noffke,4,4,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,4,SC Ganguly,AA Noffke,0,0,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,4,SC Ganguly,AA Noffke,1,1,0,,,
2008-04-18,Bangalore,M Chinnaswamy Stadium,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,4,BB McCullum,AA Noffke,6,6,0,,,
